train_nitrate,train_water,test_nitrate,test_water
0.8381,2.9281,,
0.4941,2.185,,
1.5521,5.8625,,
0.8262,2.0741,,
0.7929,1.6663,,
0.6547,1.3306,,
0.4952,0.999,,
0.3472,0.7279,,
0.273,0.5956,,
0.2514,0.5505,,
0.2184,0.4788,,
0.18,0.399,,
0.1701,0.3828,,
0.1332,0.3097,,
0.1156,0.277,,
0.116,0.2782,,
0.102,0.2635,,
0.7299,1.9769,,
0.1665,0.4214,,
0.2492,0.6193,,
0.1792,0.4862,,
0.4766,3.7256,,
0.8224,4.8886,,
1.1008,8.4864,,
0.1062,1.9074,,
0.2257,0.8257,,
0.0902,0.5567,,
0.0214,0.4524,,
0.0744,0.3637,,
0.0946,0.2731,,
0.0456,0.243,,
0.0105,0.2234,,
0.0383,0.2068,,
0.0752,0.249,,
0.073,0.4006,,
0.0118,0.2558,,
0.042,0.2069,,
0.0546,0.1778,,
0.0447,0.1537,,
0.0391,0.1487,,
0.0332,0.1406,,
0.0327,0.1466,,
0.0331,0.1575,,
0.0303,0.1563,,
0.0271,0.1528,,
0.0241,0.1436,,
0.0207,0.1292,,
0.0211,0.1334,,
0.0222,0.1422,,
0.0202,0.1331,,
0.0196,0.1332,,
0.0187,0.1306,,
0.0167,0.1212,,
0.0168,0.1281,,
0.0219,0.1719,,
0.0108,0.0874,,
0.0122,0.0997,,
0.0135,0.1105,,
0.013,0.1037,,
0.0103,0.0857,,
0.0079,0.0695,,
0.0077,0.0719,,
0.007,0.0695,,
0.0093,0.0976,,
0.0102,0.1085,,
0.0106,0.1102,,
0.0269,0.232,,
0.0294,0.2147,,
0.0273,0.1739,,
0.0343,0.2018,,
0.0316,0.2132,,
0.0254,0.207,,
0.0191,0.1648,,
0.0128,0.0971,,
0.3171,1.0209,,
3.5403,8.2581,,
0.5727,1.2295,,
0.1922,0.4087,,
0.4935,0.8756,,
0.2895,0.6149,,
0.1849,0.468,,
0.0729,0.3597,,
0.0134,0.3105,,
0.0656,0.4409,,
0.0734,0.2902,,
0.0414,0.2986,,
0.0099,0.3051,,
0.0327,0.268,,
0.0518,0.2326,,
0.0521,0.22,,
0.0472,0.1986,,
0.0271,0.1186,,
0.0161,0.0742,,
0.0173,0.0856,,
0.003,0.0149,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0.0474,0.3712,,
